epoch_id,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_mean_band_power,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_mean_band_power,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_mean_band_power,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_mean_band_power
0,2.92177665542416e-09,2.883765450498169e-10,5.722309935244874e-11,6.54548765456999e-11,8.332077940930314e-10,1.2391943599549714e-08,1.707652682856569e-09,1.1782038138325078e-09,1.8441009590284321e-09,4.280475263816806e-09,4.203747051411214e-09,6.175589068386319e-10,1.2144447302573957e-10,1.5163834676213826e-09,1.614783474724242e-09,7.554142463867208e-10,1.263624298249787e-10,3.6350907810595805e-11,4.797046882086244e-11,2.415245132107894e-10
1,2.568317641945607e-10,2.534498733657815e-10,6.955924485382143e-11,1.1187053545566768e-10,1.7292785446745781e-10,5.385899318964041e-09,1.8468582928780139e-09,6.011006993784779e-10,9.827610414228877e-10,2.204154838160855e-09,2.8305555093059502e-08,3.6558212141451465e-09,4.507212482865643e-10,1.9822575652458107e-09,8.598588780184254e-09,6.080826489671873e-10,7.431177800891521e-10,1.273990014273432e-10,2.0126003143596493e-10,4.199648654799119e-10
2,2.353302428409837e-10,8.647780698787454e-11,3.34144606078741e-11,6.152985627269341e-11,1.0418809167735643e-10,5.806069760344691e-08,1.5290866208908565e-08,4.165952958749853e-09,6.574100855996503e-09,2.102290440677546e-08,3.0917787461769832e-09,3.7856401477622746e-10,3.144302190355259e-10,1.1593782962540306e-09,1.2360378190606918e-09,3.072210690631716e-10,1.172776921552478e-10,3.932506653818546e-11,6.896271745778936e-11,1.3319663630359856e-10
3,3.586018106805141e-11,3.74222477940886e-11,1.6455504588267852e-11,5.197342930678229e-11,3.5427840689297535e-11,6.211909762186871e-10,1.2149084929662658e-10,5.6652602855689104e-11,4.5969621056966505e-11,2.113260123569923e-10,4.490625568284453e-09,1.9537700494987624e-10,2.3197165476701143e-10,1.2842171018834318e-09,1.5505478324711932e-09,5.97783596892754e-11,2.765272976088115e-11,2.294583706058308e-11,4.1616747927432586e-11,3.799841860954305e-11
4,2.987448862938656e-11,1.374922721993304e-11,2.1196122050062744e-11,5.157566518799846e-11,2.90988757718452e-11,1.4072469878068768e-10,3.6002859780181555e-11,1.9622783648581203e-11,3.931896760725565e-11,5.891732745417652e-11,3.8001412396089425e-10,1.707817283121752e-10,8.625442691119546e-11,1.1857877421648875e-09,4.557095053372881e-10,3.850387664723241e-11,2.5440428404455234e-11,1.3792816369212837e-11,4.604693933127522e-11,3.0946015188043926e-11
5,3.4500491715687144e-11,2.8158980188357642e-11,1.8186959475085937e-11,4.2211063899330034e-11,3.076437381961519e-11,5.975458671033526e-11,1.9777003723282912e-11,1.0282780066171006e-11,3.219072458982271e-11,3.050127377240297e-11,4.75165085638172e-10,1.5705335418612673e-10,2.7960976692715543e-10,2.3718695024154917e-09,8.209244272917364e-10,3.931551767396558e-11,2.2868142407276082e-11,1.81392283751871e-11,4.844503479111519e-11,3.219198081188599e-11
6,1.1704852922275135e-09,6.594222307331492e-10,1.5576477732611673e-10,5.7327852514093796e-11,5.107500382002183e-10,1.7181233358933516e-10,1.1427187898819931e-10,1.6881411855708538e-11,4.115192805167082e-11,8.602938812122846e-11,3.3373517338751368e-09,5.276956973021684e-10,5.124966515895288e-10,1.7139642532497267e-09,1.5228770840041403e-09,1.3615631576055305e-09,5.843887962221083e-10,1.6739333548130163e-10,1.7258872963977308e-10,5.714835047371783e-10
7,8.12441634253297e-11,3.859954611522953e-11,1.6806320257837464e-11,3.7470166779419184e-11,4.353004914445397e-11,1.1146563624231369e-10,2.2451611133597543e-11,4.2508095929964406e-12,1.937612741085716e-11,3.9386046094941204e-11,2.7643552118699755e-09,5.448376509158593e-10,2.8663224587025976e-10,2.3371243649839037e-09,1.4832373684099996e-09,1.3433596809222536e-10,5.001730497358028e-11,1.7754414175107763e-11,3.8238001156725877e-11,6.008642209940983e-11
8,3.8750688632692335e-10,1.9279235428662528e-10,3.330545781910499e-11,3.9998943711110184e-11,1.6340091053594096e-10,7.333310874654991e-11,2.218213407313735e-11,9.17778584437632e-12,2.4082435629391342e-11,3.219386607336373e-11,2.836183851709324e-09,5.179191043003244e-10,2.811987294842024e-10,1.8827473155193467e-09,1.3795122502532995e-09,4.3449098057970713e-10,1.7083846144977368e-10,4.137900437652526e-11,3.808048959324468e-11,1.7119723399981268e-10
9,5.171064840409611e-11,2.245182779681342e-11,4.3457617346509886e-11,5.869137688339126e-11,4.407786760770267e-11,6.457625944806011e-10,1.0998787647569892e-10,4.393568824885365e-11,3.4226498710354504e-11,2.0847816447887705e-10,2.607419001774792e-08,2.312282492554913e-09,4.933198726067426e-10,1.8432751296034272e-09,7.68076687812825e-09,8.381419576753921e-11,6.01218786624583e-11,2.636265853717959e-11,8.138353476006382e-11,6.292056693181023e-11
