epoch_id,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_mean_band_power,TP9_alpha_beta_ratio,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_mean_band_power,AF7_alpha_beta_ratio,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_mean_band_power,AF8_alpha_beta_ratio,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_mean_band_power,TP10_alpha_beta_ratio,overall_alpha_beta_ratio
0,1.0412582975479451e-09,3.9220892739933446e-10,3.054802819409124e-10,1.2403350255092705e-10,4.657452523597797e-10,2.4628852338946476,2.968555568060684e-08,1.7807132053797829e-09,8.740131650204468e-10,1.9455255779957515e-09,8.571451907250704e-09,0.4492427007414833,8.485907838511428e-09,1.187103146581356e-09,3.7533526837725195e-10,2.454651520746849e-09,3.125749443554221e-09,0.15290776112409346,2.072364902314842e-10,7.634953997486192e-11,8.481419440737324e-11,1.253036857887997e-10,1.2342597760062975e-10,0.6768691110198323,0.35264821409440095
1,2.4777351901766006e-09,4.697043762078656e-10,1.5214586685627792e-10,1.669068640136621e-10,8.166230743136016e-10,0.9115614732526763,7.520448895581553e-09,3.935598530798665e-09,1.7614965744807776e-09,3.3977659754721604e-09,4.153827494083289e-09,0.5184278691342173,9.971250368728532e-09,3.2605716232259504e-09,6.006697927455591e-10,1.4480580106045496e-09,3.820137448826148e-09,0.414810586555704,9.877986893558122e-10,4.780631866625288e-10,7.122030489829243e-11,2.2098704830618972e-10,4.395173073057058e-10,0.32228271043112344,0.4940145015788927
2,1.3400148802558522e-10,4.9214557240571656e-11,2.8036466054146244e-11,6.692678896230108e-11,6.954482507065105e-11,0.41891246373613994,3.204898128696994e-09,1.0417128787235777e-09,2.6511539954244822e-09,3.275803609931171e-09,2.5433921531940563e-09,0.8093140832335143,1.0678070401588981e-10,2.3758200241136625e-10,1.0104119041891843e-10,1.4896697788342435e-09,4.837684189201045e-10,0.0678279118329092,1.9726264745261144e-11,3.12833013058867e-11,2.6649243180895684e-11,5.456188450070738e-11,3.3055173433187726e-11,0.48842233776859717,0.5743610978225036
3,3.5644252238664536e-12,5.47219779823928e-12,2.4142280880709882e-11,3.259858686660241e-11,1.644437269235451e-11,0.7405928661724873,3.405119038938159e-09,6.356393368807117e-10,3.313847092812196e-10,2.576794786626942e-09,1.7372344679317582e-09,0.12860345379501736,2.7740060083607614e-10,1.67259706382675e-11,2.5200070064322782e-11,8.443069215630254e-10,2.9090839077542293e-10,0.029847049006386312,4.4344513034273836e-12,5.062237384117027e-12,3.2626756235201275e-11,1.993757489406207e-11,1.551525495420194e-11,1.6364455761828072,0.11899738312886605
4,5.76376097379521e-10,1.0696785079663579e-10,4.322090525480732e-12,5.421825558439257e-11,1.854710735715075e-10,0.07971651759900777,3.827521881053399e-09,2.3877503068253396e-09,2.873305177061695e-10,5.535225940337492e-10,1.7640313249046645e-09,0.519094470222566,9.302832542908665e-10,3.4479923523728833e-10,4.1730111329789447e-11,1.4383099164730483e-09,6.887806293327482e-10,0.029013295988473707,1.6815408184317798e-10,2.191029926124085e-11,7.0737714399222515e-12,3.32608135844843e-11,5.759974153220635e-11,0.21267583915091198,0.16373519694170388
5,3.859662720477455e-09,5.01072017319799e-10,7.903146772659585e-11,6.35267456281334e-11,1.125823237787996e-09,1.2440660535205512,7.950998061647565e-10,5.865861763884252e-10,1.3357155330815127e-10,4.0699837390246124e-10,4.805639774409486e-10,0.32818694587748454,4.1389528922594926e-09,2.1040705503587721e-10,6.639751161917337e-11,1.6178436534506133e-09,1.508400278091289e-09,0.0410407467233052,7.758749658172712e-10,9.370230194820436e-11,6.5694347457210784e-12,4.0995927465777e-11,2.292856574942434e-10,0.16024603300425827,0.1341104073622035
6,1.538771384077412e-10,3.6594523665947686e-11,4.935685870039162e-11,6.925738029601931e-11,7.727147526752496e-11,0.712658470323754,1.0246428452567662e-09,1.5949695822840668e-10,3.127783149620044e-11,2.0135975198995268e-10,3.541943467428315e-10,0.15533308512299482,9.558139759590128e-10,2.681564436084248e-10,2.568583567009936e-11,2.067084019640589e-09,8.291850687195315e-10,0.01242612077014917,3.304198694718499e-10,1.2068115813443112e-10,7.483966255381093e-12,3.628749976630978e-11,1.2371812340699297e-10,0.20624089021226513,0.04793809441377047
7,2.550959667079843e-11,8.024472412493931e-11,3.383682873576672e-12,4.682254221273792e-11,3.899013647051308e-11,0.072266107598407,1.7080681325407519e-09,3.2624502033696384e-10,1.4455923116161146e-10,1.7453346931008305e-10,5.883514633373526e-10,0.8282608013983944,1.0067948456285495e-09,3.5939464815854176e-10,1.9302962161639337e-10,2.316441640637965e-09,9.689151890103622e-10,0.0833302329875367,6.673418153458196e-11,8.716910942102086e-11,4.75045399708355e-11,4.0450481816934636e-11,6.046457818584323e-11,1.1743874939691739,0.15067482082225914
8,2.5580734930600152e-11,2.866873516062653e-11,2.3716847393479305e-11,4.4521409446207464e-11,3.0621931732728364e-11,0.5327065717031025,3.26529276362602e-10,5.358544539593481e-10,1.5411110149135744e-10,2.095311705433902e-10,3.0650650058917447e-10,0.7355044172744873,7.253307083611832e-10,2.187486982526282e-10,6.749174735185159e-11,1.612959255764665e-09,6.56132602432582e-10,0.041843429777062395,1.0872016149840934e-10,6.871232826428244e-11,1.3659855059124164e-11,7.004750844457556e-11,6.528496331659787e-11,0.19500843588080505,0.13369727265786255
9,1.981395874244077e-11,1.4133599239887092e-11,3.4466255774289516e-11,4.187889731498953e-11,2.7573177767901725e-11,0.8229981681478791,8.72428800138938e-10,4.3346409244180356e-10,5.3161533510751316e-11,1.0448450384602719e-10,3.6588473248438e-10,0.5087982576736203,4.5451631443287905e-10,2.4898377000896265e-10,1.9870870913400696e-10,2.2180761912245764e-09,7.800712462001062e-10,0.08958606107407968,1.1351940392592685e-11,9.73158156175466e-12,1.2373015551827422e-11,2.1762900337722814e-11,1.3804859460974395e-11,0.5685370681214122,0.12518196376115806
